group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
F,1,Sweden,Tunisia,2026-06-11,Estadio Azteca,20,25.306666666666665,2251,186,479
F,2,Netherlands,Sweden,2026-06-15,Estadio Azteca,19,24.413333333333338,2251,227,186
F,2,Tunisia,Japan,2026-06-15,Estadio Akron,0,25.32,1665,479,155
F,3,Japan,Sweden,2026-06-27,Estadio BBVA,1,30.71333333333333,494,155,186
F,3,Tunisia,Netherlands,2026-06-27,Estadio Akron,1,20.76,1665,479,227
G,1,Belgium,Egypt,2026-06-14,BC Place,21,14.72,18,42,584
G,1,Iran,New Zealand,2026-06-14,Levi's Stadium,20,24.113333333333333,3,164,66
G,2,New Zealand,Egypt,2026-06-18,BC Place,21,15.953333333333337,18,66,584
G,2,Belgium,Iran,2026-06-18,Lumen Field,20,15.393333333333334,10,42,164
G,3,New Zealand,Belgium,2026-06-24,BC Place,20,19.886666666666663,18,66,42
G,3,Egypt,Iran,2026-06-24,Lumen Field,20,21.026666666666667,10,584,164
H,1,Spain,Cape Verde,2026-06-14,Lincoln Financial Field,21,27.093333333333337,1,270,13
H,1,Saudi Arabia,Uruguay,2026-06-14,BMO Field,19,21.540000000000003,83,233,14
H,2,Spain,Saudi Arabia,2026-06-21,BMO Field,20,26.74,83,270,233
H,2,Uruguay,Cape Verde,2026-06-20,Lincoln Financial Field,20,29.56666666666667,1,14,13
H,3,Cape Verde,Saudi Arabia,2026-06-27,Mercedes-Benz Stadium,20,33.13333333333333,316,13,233
H,3,Uruguay,Spain,2026-06-27,MetLife Stadium,20,27.079999999999995,4,14,270
I,1,Iraq,Norway,2026-06-14,Gillette Stadium,20,21.880000000000003,84,663,249
I,1,France,Senegal,2026-06-14,MetLife Stadium,21,22.706666666666667,4,64,38
I,2,Norway,Senegal,2026-06-20,MetLife Stadium,22,25.953333333333333,4,249,38
I,2,France,Iraq,2026-06-21,Gillette Stadium,20,24.68666666666666,84,64,663
I,3,Norway,France,2026-06-27,Gillette Stadium,20,25.42,84,249,64
I,3,Senegal,Iraq,2026-06-27,Lincoln Financial Field,20,29.09999999999999,1,38,663
J,1,Argentina,Algeria,2026-06-14,SoFi Stadium,19,26.380000000000003,38,281,287
J,1,Austria,Jordan,2026-06-15,Lumen Field,20,15.453333333333331,10,22,54
J,2,Argentina,Austria,2026-06-20,SoFi Stadium,19,26.526666666666667,38,281,22
J,2,Jordan,Algeria,2026-06-20,Levi's Stadium,20,23.160000000000004,3,54,287
J,3,Jordan,Argentina,2026-06-24,Levi's Stadium,20,24.83333333333333,3,54,281
J,3,Algeria,Austria,2026-06-24,SoFi Stadium,20,25.726666666666667,38,287,22
K,1,Portugal,DR Congo,2026-06-12,NRG Stadium,17,35.03333333333333,14,5,13
K,1,Uzbekistan,Colombia,2026-06-13,Estadio BBVA,4,30.24,494,338,1566
K,2,Portugal,Uzbekistan,2026-06-18,AT&T Stadium,17,33.60666666666667,193,5,338
K,2,Colombia,DR Congo,2026-06-18,NRG Stadium,22,35.153333333333336,14,1566,13
K,3,DR Congo,Uzbekistan,2026-06-24,AT&T Stadium,17,36.626666666666665,193,13,338
K,3,Colombia,Portugal,2026-06-24,NRG Stadium,17,37.07333333333334,14,1566,5
L,1,England,Croatia,2026-06-11,BMO Field,19,20.10666666666667,83,281,15
L,1,Ghana,Panama,2026-06-11,Gillette Stadium,23,20.486666666666665,84,126,221
L,2,England,Ghana,2026-06-18,Gillette Stadium,23,21.2,84,281,126
L,2,Panama,Croatia,2026-06-18,BMO Field,22,23.79333333333333,83,221,15
L,3,Panama,England,2026-06-24,BMO Field,22,26.920000000000005,83,221,281
L,3,Croatia,Ghana,2026-06-24,MetLife Stadium,22,25.12666666666667,4,15,126
