group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-12,AT&T Stadium,2,30.34666666666666,193,1644,200
A,1,Mexico,South Africa,2026-06-13,Estadio Azteca,21,23.546666666666667,2251,2231,2365
A,2,Czechia,South Africa,2026-06-22,AT&T Stadium,17,33.89333333333334,193,200,2365
A,2,Mexico,Korea Republic,2026-06-23,Estadio BBVA,4,28.073333333333338,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Mercedes-Benz Stadium,21,31.78,316,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio Azteca,21,21.066666666666663,2251,200,2231
B,1,Qatar,Switzerland,2026-06-11,SoFi Stadium,20,24.02,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-11,BMO Field,21,19.453333333333333,83,0,1350
B,2,Canada,Qatar,2026-06-18,BC Place,20,15.333333333333334,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-17,SoFi Stadium,22,26.040000000000003,38,66,1350
B,3,Switzerland,Canada,2026-06-24,BC Place,20,19.886666666666663,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-24,Gillette Stadium,20,27.54666666666667,84,1350,157
C,1,Haiti,Scotland,2026-06-14,Levi's Stadium,20,24.113333333333333,3,25,220
C,1,Brazil,Morocco,2026-06-14,MetLife Stadium,21,22.706666666666667,4,4,90
C,2,Scotland,Morocco,2026-06-18,Gillette Stadium,21,23.686666666666664,84,220,90
C,2,Brazil,Haiti,2026-06-18,Lincoln Financial Field,1,23.186666666666667,1,4,25
C,3,Morocco,Haiti,2026-06-24,Lumen Field,22,21.73333333333333,10,90,25
C,3,Scotland,Brazil,2026-06-24,MetLife Stadium,22,25.12666666666667,4,220,4
D,1,Australia,Türkiye,2026-06-11,MetLife Stadium,20,22.473333333333336,4,9,405
D,1,USA,Paraguay,2026-06-11,Levi's Stadium,3,18.706666666666663,3,82,22
D,2,Türkiye,Paraguay,2026-06-18,NRG Stadium,17,35.29333333333333,14,405,22
D,2,USA,Australia,2026-06-17,Levi's Stadium,3,19.32,3,82,9
D,3,Paraguay,Australia,2026-06-27,Levi's Stadium,3,17.433333333333334,3,22,9
D,3,Türkiye,USA,2026-06-27,Lumen Field,3,21.753333333333337,10,405,82
E,1,Germany,Curaçao,2026-06-17,Hard Rock Stadium,22,32.11333333333333,5,292,8
E,1,Ivory Coast,Ecuador,2026-06-17,MetLife Stadium,21,23.76,4,10,225
E,2,Ecuador,Curaçao,2026-06-21,Lincoln Financial Field,1,25.02,1,225,8
E,2,Germany,Ivory Coast,2026-06-21,MetLife Stadium,22,26.113333333333333,4,292,10
E,3,Ecuador,Germany,2026-06-26,BMO Field,22,23.80666666666667,83,225,292
E,3,Curaçao,Ivory Coast,2026-06-26,Hard Rock Stadium,22,31.87333333333333,5,8,10
F,1,Netherlands,Japan,2026-06-17,BMO Field,23,20.706666666666667,83,227,155
F,1,Sweden,Tunisia,2026-06-18,AT&T Stadium,17,33.60666666666667,193,186,479
F,2,Netherlands,Sweden,2026-06-23,BMO Field,19,26.7,83,227,186
F,2,Tunisia,Japan,2026-06-23,Hard Rock Stadium,0,30.719999999999995,5,479,155
F,3,Japan,Sweden,2026-06-27,Gillette Stadium,23,23.44,84,155,186
F,3,Tunisia,Netherlands,2026-06-27,Arrowhead Stadium,23,29.913333333333338,259,479,227
G,1,Belgium,Egypt,2026-06-11,Lumen Field,19,15.22,10,42,584
G,1,Iran,New Zealand,2026-06-11,BC Place,20,15.1,18,164,66
G,2,New Zealand,Egypt,2026-06-15,Lumen Field,21,16.35333333333333,10,66,584
G,2,Belgium,Iran,2026-06-15,BC Place,20,14.56,18,42,164
G,3,New Zealand,Belgium,2026-06-21,BC Place,20,18.826666666666664,18,66,42
G,3,Egypt,Iran,2026-06-21,Gillette Stadium,20,24.68666666666666,84,584,164
H,1,Spain,Cape Verde,2026-06-11,Hard Rock Stadium,22,32.38666666666667,5,270,13
H,1,Saudi Arabia,Uruguay,2026-06-11,NRG Stadium,17,35.406666666666666,14,233,14
H,2,Spain,Saudi Arabia,2026-06-15,AT&T Stadium,17,34.133333333333326,193,270,233
H,2,Uruguay,Cape Verde,2026-06-15,NRG Stadium,0,32.58,14,14,13
H,3,Cape Verde,Saudi Arabia,2026-06-24,NRG Stadium,20,38.15333333333333,14,13,233
H,3,Uruguay,Spain,2026-06-24,Lincoln Financial Field,20,29.98,1,14,270
I,1,Iraq,Norway,2026-06-14,BMO Field,20,21.14,83,663,249
I,1,France,Senegal,2026-06-14,SoFi Stadium,22,24.51333333333333,38,64,38
I,2,Norway,Senegal,2026-06-20,SoFi Stadium,22,24.646666666666665,38,249,38
I,2,France,Iraq,2026-06-21,Lumen Field,20,20.586666666666662,10,64,663
I,3,Norway,France,2026-06-27,MetLife Stadium,20,27.079999999999995,4,249,64
I,3,Senegal,Iraq,2026-06-27,BC Place,20,22.566666666666663,18,38,663
J,1,Argentina,Algeria,2026-06-19,Mercedes-Benz Stadium,17,27.23333333333333,316,281,287
J,1,Austria,Jordan,2026-06-18,Lumen Field,20,15.393333333333334,10,22,54
J,2,Argentina,Austria,2026-06-23,Levi's Stadium,21,26.94666666666667,3,281,22
J,2,Jordan,Algeria,2026-06-23,SoFi Stadium,20,25.71333333333333,38,54,287
J,3,Jordan,Argentina,2026-06-27,SoFi Stadium,20,29.06666666666667,38,54,281
J,3,Algeria,Austria,2026-06-27,Lincoln Financial Field,20,29.09999999999999,1,287,22
K,1,Portugal,DR Congo,2026-06-14,Hard Rock Stadium,22,32.34666666666667,5,5,13
K,1,Uzbekistan,Colombia,2026-06-13,Mercedes-Benz Stadium,16,29.79333333333333,316,338,1566
K,2,Portugal,Uzbekistan,2026-06-21,NRG Stadium,17,35.41333333333333,14,5,338
K,2,Colombia,DR Congo,2026-06-20,Hard Rock Stadium,22,32.726666666666674,5,1566,13
K,3,DR Congo,Uzbekistan,2026-06-27,AT&T Stadium,17,35.879999999999995,193,13,338
K,3,Colombia,Portugal,2026-06-27,NRG Stadium,17,36.65333333333333,14,1566,5
L,1,England,Croatia,2026-06-11,Lincoln Financial Field,20,24.24666666666667,1,281,15
L,1,Ghana,Panama,2026-06-11,Gillette Stadium,23,20.486666666666665,84,126,221
L,2,England,Ghana,2026-06-15,Gillette Stadium,19,21.96,84,281,126
L,2,Panama,Croatia,2026-06-15,Lincoln Financial Field,21,25.21333333333333,1,221,15
L,3,Panama,England,2026-06-20,BMO Field,21,24.84666666666667,83,221,281
L,3,Croatia,Ghana,2026-06-20,Levi's Stadium,21,23.24,3,15,126
