group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-11,AT&T Stadium,0,30.913333333333338,193,1644,200
A,1,Mexico,South Africa,2026-06-11,Estadio Azteca,2,17.973333333333336,2251,2231,2365
A,2,Czechia,South Africa,2026-06-15,AT&T Stadium,2,30.02,193,200,2365
A,2,Mexico,Korea Republic,2026-06-16,Estadio Akron,2,22.180000000000003,1665,2231,1644
A,3,South Africa,Korea Republic,2026-06-22,Estadio Akron,2,21.606666666666666,1665,2365,1644
A,3,Czechia,Mexico,2026-06-22,Estadio BBVA,2,29.62,494,200,2231
B,1,Qatar,Switzerland,2026-06-17,SoFi Stadium,2,21.03333333333333,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-16,BC Place,21,15.713333333333336,18,0,1350
B,2,Canada,Qatar,2026-06-23,BC Place,19,17.113333333333333,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-23,SoFi Stadium,1,20.4,38,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,23,21.26,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,SoFi Stadium,23,25.473333333333333,38,1350,157
C,1,Haiti,Scotland,2026-06-11,Lincoln Financial Field,21,24.09333333333334,1,25,220
C,1,Brazil,Morocco,2026-06-11,MetLife Stadium,20,22.473333333333336,4,4,90
C,2,Scotland,Morocco,2026-06-18,Lincoln Financial Field,22,26.53333333333333,1,220,90
C,2,Brazil,Haiti,2026-06-18,MetLife Stadium,23,22.666666666666668,4,4,25
C,3,Morocco,Haiti,2026-06-24,Lincoln Financial Field,1,25.17333333333333,1,90,25
C,3,Scotland,Brazil,2026-06-24,Gillette Stadium,1,22.21333333333333,84,220,4
D,1,Australia,Türkiye,2026-06-14,Levi's Stadium,20,24.113333333333333,3,9,405
D,1,USA,Paraguay,2026-06-14,SoFi Stadium,2,20.35333333333333,38,82,22
D,2,Türkiye,Paraguay,2026-06-20,Levi's Stadium,19,22.173333333333336,3,405,22
D,2,USA,Australia,2026-06-20,SoFi Stadium,2,19.866666666666667,38,82,9
D,3,Paraguay,Australia,2026-06-24,Levi's Stadium,2,18.420000000000005,3,22,9
D,3,Türkiye,USA,2026-06-24,AT&T Stadium,2,33.559999999999995,193,405,82
E,1,Germany,Curaçao,2026-06-14,Hard Rock Stadium,22,32.34666666666667,5,292,8
E,1,Ivory Coast,Ecuador,2026-06-15,Lincoln Financial Field,22,24.24,1,10,225
E,2,Ecuador,Curaçao,2026-06-21,Hard Rock Stadium,0,31.699999999999992,5,225,8
E,2,Germany,Ivory Coast,2026-06-21,Lincoln Financial Field,1,25.02,1,292,10
E,3,Ecuador,Germany,2026-06-27,Mercedes-Benz Stadium,22,30.399999999999995,316,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,MetLife Stadium,22,26.36,4,8,10
F,1,Netherlands,Japan,2026-06-17,Arrowhead Stadium,2,28.73333333333333,259,227,155
F,1,Sweden,Tunisia,2026-06-16,Estadio BBVA,1,31.52,494,186,479
F,2,Netherlands,Sweden,2026-06-21,AT&T Stadium,2,30.90666666666667,193,227,186
F,2,Tunisia,Japan,2026-06-21,NRG Stadium,0,33.34,14,479,155
F,3,Japan,Sweden,2026-06-27,AT&T Stadium,1,34.00666666666667,193,155,186
F,3,Tunisia,Netherlands,2026-06-27,Arrowhead Stadium,1,27.293333333333333,259,479,227
G,1,Belgium,Egypt,2026-06-11,Lumen Field,19,15.22,10,42,584
G,1,Iran,New Zealand,2026-06-11,SoFi Stadium,1,19.38,38,164,66
G,2,New Zealand,Egypt,2026-06-17,Levi's Stadium,4,18.20666666666667,3,66,584
G,2,Belgium,Iran,2026-06-17,Lumen Field,19,15.906666666666668,10,42,164
G,3,New Zealand,Belgium,2026-06-27,BC Place,4,20.0,18,66,42
G,3,Egypt,Iran,2026-06-27,Levi's Stadium,4,16.2,3,584,164
H,1,Spain,Cape Verde,2026-06-13,Mercedes-Benz Stadium,16,29.79333333333333,316,270,13
H,1,Saudi Arabia,Uruguay,2026-06-14,NRG Stadium,0,34.586666666666666,14,233,14
H,2,Spain,Saudi Arabia,2026-06-18,AT&T Stadium,2,32.28,193,270,233
H,2,Uruguay,Cape Verde,2026-06-18,Hard Rock Stadium,23,31.52,5,14,13
H,3,Cape Verde,Saudi Arabia,2026-06-24,NRG Stadium,0,34.63333333333333,14,13,233
H,3,Uruguay,Spain,2026-06-24,Hard Rock Stadium,0,30.44666666666667,5,14,270
I,1,Iraq,Norway,2026-06-16,Mercedes-Benz Stadium,0,29.52,316,663,249
I,1,France,Senegal,2026-06-15,MetLife Stadium,21,22.44,4,64,38
I,2,Norway,Senegal,2026-06-21,MetLife Stadium,23,25.54666666666667,4,249,38
I,2,France,Iraq,2026-06-21,Gillette Stadium,0,21.30666666666667,84,64,663
I,3,Norway,France,2026-06-27,Gillette Stadium,1,21.49333333333333,84,249,64
I,3,Senegal,Iraq,2026-06-27,Lincoln Financial Field,1,25.773333333333333,1,38,663
J,1,Argentina,Algeria,2026-06-11,Arrowhead Stadium,1,27.546666666666667,259,281,287
J,1,Austria,Jordan,2026-06-11,Levi's Stadium,4,17.453333333333333,3,22,54
J,2,Argentina,Austria,2026-06-20,Arrowhead Stadium,2,29.766666666666666,259,281,22
J,2,Jordan,Algeria,2026-06-20,Lumen Field,20,17.166666666666668,10,54,287
J,3,Jordan,Argentina,2026-06-24,Lumen Field,2,19.133333333333336,10,54,281
J,3,Algeria,Austria,2026-06-24,Arrowhead Stadium,2,30.280000000000005,259,287,22
K,1,Portugal,DR Congo,2026-06-11,Hard Rock Stadium,22,32.38666666666667,5,5,13
K,1,Uzbekistan,Colombia,2026-06-11,NRG Stadium,0,33.7,14,338,1566
K,2,Portugal,Uzbekistan,2026-06-19,Mercedes-Benz Stadium,18,28.493333333333336,316,5,338
K,2,Colombia,DR Congo,2026-06-18,NRG Stadium,0,33.58,14,1566,13
K,3,DR Congo,Uzbekistan,2026-06-27,NRG Stadium,0,34.406666666666666,14,13,338
K,3,Colombia,Portugal,2026-06-27,Hard Rock Stadium,0,30.726666666666667,5,1566,5
L,1,England,Croatia,2026-06-14,Arrowhead Stadium,2,28.42,259,281,15
