group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-11,Arrowhead Stadium,1,27.546666666666667,259,1644,200
A,1,Mexico,South Africa,2026-06-11,Estadio Azteca,21,24.34,2251,2231,2365
A,2,Czechia,South Africa,2026-06-15,AT&T Stadium,17,34.133333333333326,193,200,2365
A,2,Mexico,Korea Republic,2026-06-16,Estadio BBVA,4,28.526666666666664,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Mercedes-Benz Stadium,21,31.78,316,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio Azteca,21,21.066666666666663,2251,200,2231
B,1,Qatar,Switzerland,2026-06-17,SoFi Stadium,19,27.3,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-17,BMO Field,22,21.71333333333333,83,0,1350
B,2,Canada,Qatar,2026-06-21,BC Place,20,18.826666666666664,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-21,SoFi Stadium,22,24.69333333333333,38,66,1350
B,3,Switzerland,Canada,2026-06-27,BC Place,19,21.746666666666663,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,SoFi Stadium,19,28.84666666666667,38,1350,157
C,1,Haiti,Scotland,2026-06-17,Hard Rock Stadium,23,31.346666666666668,5,25,220
C,1,Brazil,Morocco,2026-06-17,Lincoln Financial Field,22,26.453333333333333,1,4,90
C,2,Scotland,Morocco,2026-06-22,Gillette Stadium,19,26.24,84,220,90
C,2,Brazil,Haiti,2026-06-21,MetLife Stadium,0,24.993333333333336,4,4,25
C,3,Morocco,Haiti,2026-06-27,MetLife Stadium,22,26.36,4,90,25
C,3,Scotland,Brazil,2026-06-27,Hard Rock Stadium,22,32.62666666666667,5,220,4
D,1,Australia,Türkiye,2026-06-11,MetLife Stadium,20,22.473333333333336,4,9,405
D,1,USA,Paraguay,2026-06-11,Levi's Stadium,3,18.706666666666663,3,82,22
D,2,Türkiye,Paraguay,2026-06-21,Lumen Field,20,20.586666666666662,10,405,22
D,2,USA,Australia,2026-06-21,Levi's Stadium,3,18.62,3,82,9
D,3,Paraguay,Australia,2026-06-27,Levi's Stadium,3,17.433333333333334,3,22,9
D,3,Türkiye,USA,2026-06-27,Lumen Field,3,21.753333333333337,10,405,82
E,1,Germany,Curaçao,2026-06-14,Hard Rock Stadium,22,32.34666666666667,5,292,8
E,1,Ivory Coast,Ecuador,2026-06-15,MetLife Stadium,21,22.44,4,10,225
E,2,Ecuador,Curaçao,2026-06-23,Hard Rock Stadium,0,30.719999999999995,5,225,8
E,2,Germany,Ivory Coast,2026-06-23,Lincoln Financial Field,22,29.500000000000004,1,292,10
E,3,Ecuador,Germany,2026-06-27,AT&T Stadium,20,38.38666666666666,193,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,Lincoln Financial Field,20,29.09999999999999,1,8,10
F,1,Netherlands,Japan,2026-06-11,BMO Field,23,18.993333333333336,83,227,155
F,1,Sweden,Tunisia,2026-06-11,Gillette Stadium,19,22.42,84,186,479
F,2,Netherlands,Sweden,2026-06-21,BMO Field,22,24.866666666666667,83,227,186
F,2,Tunisia,Japan,2026-06-20,Hard Rock Stadium,0,31.00666666666667,5,479,155
F,3,Japan,Sweden,2026-06-27,BMO Field,23,21.26,83,155,186
