group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-11,AT&T Stadium,18,33.8,193,1644,200
A,1,Mexico,South Africa,2026-06-11,Estadio Akron,0,25.55333333333333,1665,2231,2365
A,2,Czechia,South Africa,2026-06-20,AT&T Stadium,17,36.00666666666667,193,200,2365
A,2,Mexico,Korea Republic,2026-06-19,Estadio BBVA,2,29.51333333333334,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Arrowhead Stadium,1,27.293333333333333,259,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio BBVA,1,30.71333333333333,494,200,2231
B,1,Qatar,Switzerland,2026-06-14,SoFi Stadium,23,23.540000000000003,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-14,BMO Field,19,21.540000000000003,83,0,1350
B,2,Canada,Qatar,2026-06-20,BC Place,20,16.866666666666667,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-20,SoFi Stadium,1,20.893333333333327,38,66,1350
B,3,Switzerland,Canada,2026-06-27,BC Place,22,23.92666666666667,18,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,Gillette Stadium,22,24.26,84,1350,157
C,1,Haiti,Scotland,2026-06-14,BC Place,1,14.18666666666667,18,25,220
C,1,Brazil,Morocco,2026-06-15,Levi's Stadium,20,24.3,3,4,90
C,2,Scotland,Morocco,2026-06-20,Gillette Stadium,20,26.146666666666665,84,220,90
C,2,Brazil,Haiti,2026-06-21,Levi's Stadium,22,26.6,3,4,25
C,3,Morocco,Haiti,2026-06-27,Lincoln Financial Field,22,27.92666666666667,1,90,25
C,3,Scotland,Brazil,2026-06-27,MetLife Stadium,22,26.36,4,220,4
D,1,Australia,Türkiye,2026-06-11,Hard Rock Stadium,0,31.44666666666667,5,9,405
D,1,USA,Paraguay,2026-06-11,Lincoln Financial Field,1,21.17333333333333,1,82,22
D,2,Türkiye,Paraguay,2026-06-17,MetLife Stadium,20,24.346666666666668,4,405,22
D,2,USA,Australia,2026-06-17,Hard Rock Stadium,23,31.346666666666668,5,82,9
D,3,Paraguay,Australia,2026-06-21,MetLife Stadium,0,24.993333333333336,4,22,9
D,3,Türkiye,USA,2026-06-21,Lumen Field,0,21.76,10,405,82
E,1,Germany,Curaçao,2026-06-14,Lincoln Financial Field,0,23.160000000000004,1,292,8
E,1,Ivory Coast,Ecuador,2026-06-14,MetLife Stadium,19,22.433333333333337,4,10,225
E,2,Ecuador,Curaçao,2026-06-20,Hard Rock Stadium,22,32.726666666666674,5,225,8
E,2,Germany,Ivory Coast,2026-06-20,Lincoln Financial Field,1,24.473333333333333,1,292,10
E,3,Ecuador,Germany,2026-06-24,AT&T Stadium,22,37.47333333333333,193,225,292
E,3,Curaçao,Ivory Coast,2026-06-24,Hard Rock Stadium,22,31.773333333333333,5,8,10
F,1,Netherlands,Japan,2026-06-11,BMO Field,22,19.253333333333337,83,227,155
F,1,Sweden,Tunisia,2026-06-11,Gillette Stadium,1,18.1,84,186,479
F,2,Netherlands,Sweden,2026-06-18,BMO Field,23,23.06,83,227,186
F,2,Tunisia,Japan,2026-06-17,Gillette Stadium,0,19.346666666666668,84,479,155
F,3,Japan,Sweden,2026-06-24,BMO Field,23,26.3,83,155,186
F,3,Tunisia,Netherlands,2026-06-24,Arrowhead Stadium,23,34.306666666666665,259,479,227
G,1,Belgium,Egypt,2026-06-11,SoFi Stadium,2,18.413333333333338,38,42,584
G,1,Iran,New Zealand,2026-06-11,BC Place,4,14.45333333333333,18,164,66
G,2,New Zealand,Egypt,2026-06-17,SoFi Stadium,2,21.03333333333333,38,66,584
G,2,Belgium,Iran,2026-06-18,Lumen Field,21,15.673333333333334,10,42,164
G,3,New Zealand,Belgium,2026-06-23,Lincoln Financial Field,23,28.913333333333338,1,66,42
G,3,Egypt,Iran,2026-06-23,Gillette Stadium,23,24.71333333333333,84,584,164
H,1,Spain,Cape Verde,2026-06-11,Lumen Field,22,17.933333333333334,10,270,13
H,1,Saudi Arabia,Uruguay,2026-06-11,Levi's Stadium,3,18.706666666666663,3,233,14
H,2,Spain,Saudi Arabia,2026-06-15,AT&T Stadium,17,34.133333333333326,193,270,233
H,2,Uruguay,Cape Verde,2026-06-15,Lumen Field,2,15.099999999999998,10,14,13
H,3,Cape Verde,Saudi Arabia,2026-06-27,Hard Rock Stadium,0,30.726666666666667,5,13,233
H,3,Uruguay,Spain,2026-06-27,Levi's Stadium,0,22.14,3,14,270
I,1,Iraq,Norway,2026-06-14,Arrowhead Stadium,23,32.00666666666667,259,663,249
I,1,France,Senegal,2026-06-14,NRG Stadium,20,37.373333333333335,14,64,38
I,2,Norway,Senegal,2026-06-23,SoFi Stadium,1,20.4,38,249,38
I,2,France,Iraq,2026-06-23,NRG Stadium,17,36.726666666666674,14,64,663
I,3,Norway,France,2026-06-27,SoFi Stadium,23,25.473333333333333,38,249,64
I,3,Senegal,Iraq,2026-06-27,Lumen Field,23,25.24,10,38,663
J,1,Argentina,Algeria,2026-06-11,Arrowhead Stadium,2,26.39333333333333,259,281,287
J,1,Austria,Jordan,2026-06-11,NRG Stadium,22,35.85333333333333,14,22,54
J,2,Argentina,Austria,2026-06-17,BC Place,1,15.673333333333336,18,281,22
J,2,Jordan,Algeria,2026-06-17,NRG Stadium,18,36.38666666666666,14,54,287
J,3,Jordan,Argentina,2026-06-24,Lumen Field,20,21.026666666666667,10,54,281
J,3,Algeria,Austria,2026-06-24,BC Place,20,19.886666666666663,18,287,22
K,1,Portugal,DR Congo,2026-06-11,MetLife Stadium,23,21.646666666666665,4,5,13
K,1,Uzbekistan,Colombia,2026-06-11,Mercedes-Benz Stadium,16,28.980000000000008,316,338,1566
K,2,Portugal,Uzbekistan,2026-06-18,Levi's Stadium,3,18.06,3,5,338
K,2,Colombia,DR Congo,2026-06-17,Lincoln Financial Field,1,23.14,1,1566,13
K,3,DR Congo,Uzbekistan,2026-06-24,Levi's Stadium,23,22.90666666666667,3,13,338
K,3,Colombia,Portugal,2026-06-24,MetLife Stadium,23,24.87333333333333,4,1566,5
L,1,England,Croatia,2026-06-14,Hard Rock Stadium,23,32.16666666666667,5,281,15
L,1,Ghana,Panama,2026-06-14,Gillette Stadium,0,18.666666666666668,84,126,221
L,2,England,Ghana,2026-06-21,BMO Field,20,26.74,83,281,126
L,2,Panama,Croatia,2026-06-20,NRG Stadium,17,36.67999999999999,14,221,15
L,3,Panama,England,2026-06-27,AT&T Stadium,19,38.306666666666665,193,221,281
L,3,Croatia,Ghana,2026-06-27,NRG Stadium,19,38.47333333333333,14,15,126
