group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-11,AT&T Stadium,1,30.073333333333338,193,1644,200
A,1,Mexico,South Africa,2026-06-11,Estadio Azteca,21,24.34,2251,2231,2365
A,2,Czechia,South Africa,2026-06-15,AT&T Stadium,17,34.133333333333326,193,200,2365
A,2,Mexico,Korea Republic,2026-06-15,Estadio Akron,2,22.126666666666665,1665,2231,1644
A,3,South Africa,Korea Republic,2026-06-19,Estadio Akron,2,21.14,1665,2365,1644
A,3,Czechia,Mexico,2026-06-19,Estadio BBVA,2,29.51333333333334,494,200,2231
B,1,Qatar,Switzerland,2026-06-17,SoFi Stadium,19,27.3,38,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-16,BC Place,21,15.713333333333336,18,0,1350
B,2,Canada,Qatar,2026-06-23,BC Place,19,17.113333333333333,18,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-23,SoFi Stadium,22,23.773333333333333,38,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,19,24.04,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,SoFi Stadium,19,28.84666666666667,38,1350,157
C,1,Haiti,Scotland,2026-06-11,Lincoln Financial Field,22,23.826666666666668,1,25,220
C,1,Brazil,Morocco,2026-06-11,MetLife Stadium,20,22.473333333333336,4,4,90
C,2,Scotland,Morocco,2026-06-17,Lincoln Financial Field,22,26.453333333333333,1,220,90
C,2,Brazil,Haiti,2026-06-18,MetLife Stadium,22,23.286666666666672,4,4,25
C,3,Morocco,Haiti,2026-06-24,Lincoln Financial Field,20,29.98,1,90,25
C,3,Scotland,Brazil,2026-06-24,Gillette Stadium,20,27.54666666666667,84,220,4
D,1,Australia,Türkiye,2026-06-14,Levi's Stadium,20,24.113333333333333,3,9,405
D,1,USA,Paraguay,2026-06-14,SoFi Stadium,2,20.35333333333333,38,82,22
D,2,Türkiye,Paraguay,2026-06-20,Levi's Stadium,20,23.160000000000004,3,405,22
D,2,USA,Australia,2026-06-20,SoFi Stadium,1,20.893333333333327,38,82,9
D,3,Paraguay,Australia,2026-06-24,Levi's Stadium,19,23.86666666666667,3,22,9
D,3,Türkiye,USA,2026-06-24,AT&T Stadium,19,38.39333333333333,193,405,82
E,1,Germany,Curaçao,2026-06-15,Hard Rock Stadium,22,32.66,5,292,8
E,1,Ivory Coast,Ecuador,2026-06-14,Lincoln Financial Field,23,24.673333333333336,1,10,225
E,2,Ecuador,Curaçao,2026-06-21,Hard Rock Stadium,0,31.699999999999992,5,225,8
E,2,Germany,Ivory Coast,2026-06-21,Lincoln Financial Field,22,27.986666666666668,1,292,10
E,3,Ecuador,Germany,2026-06-27,Mercedes-Benz Stadium,21,31.78,316,225,292
E,3,Curaçao,Ivory Coast,2026-06-27,MetLife Stadium,21,26.83333333333333,4,8,10
