group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-15,SoFi Stadium,7,18.94,38,1644,200
A,1,Mexico,South Africa,2026-06-16,Estadio Azteca,21,23.12666667,2251,2231,2365
A,2,Czechia,South Africa,2026-06-22,AT&T Stadium,18,34.98,193,200,2365
A,2,Mexico,Korea Republic,2026-06-23,Estadio BBVA,5,27.72,494,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,Mercedes-Benz Stadium,21,31.78,316,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio Azteca,21,21.06666667,2251,200,2231
B,1,Qatar,Switzerland,2026-06-14,BMO Field,16,20.67333333,83,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-14,BC Place,22,15.34666667,18,0,1350
B,2,Canada,Qatar,2026-06-20,BMO Field,16,24.04666667,83,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-21,BC Place,22,19.61333333,18,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,16,21.65333333,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,Gillette Stadium,16,25.36,84,1350,157
C,1,Haiti,Scotland,2026-06-11,Lincoln Financial Field,16,24.11333333,1,25,220
C,1,Brazil,Morocco,2026-06-11,MetLife Stadium,20,22.47333333,4,4,90
C,2,Scotland,Morocco,2026-06-17,Gillette Stadium,16,23.86,84,220,90
C,2,Brazil,Haiti,2026-06-17,Lincoln Financial Field,1,23.14,1,4,25
C,3,Morocco,Haiti,2026-06-24,Lumen Field,22,21.73333333,10,90,25
C,3,Scotland,Brazil,2026-06-24,Levi's Stadium,22,24.16666667,3,220,4
D,1,Australia,Türkiye,2026-06-14,Levi's Stadium,6,15.18666667,3,9,405
D,1,USA,Paraguay,2026-06-14,Lumen Field,3,14.52666667,10,82,22
D,2,Türkiye,Paraguay,2026-06-18,NRG Stadium,18,35.86,14,405,22
D,2,USA,Australia,2026-06-18,Lumen Field,3,13.42666667,10,82,9
D,3,Paraguay,Australia,2026-06-24,BC Place,5,17.08,18,22,9
D,3,Türkiye,USA,2026-06-24,SoFi Stadium,5,18.33333333,38,405,82
