group,day,team_1,team_2,date,stadium,hour_utc,apparent_temperature,stad_elevation,camp_elev_t1,camp_elev_t2
A,1,Korea Republic,Czechia,2026-06-16,SoFi Stadium,7,19.20666667,38,1644,200
A,1,Mexico,South Africa,2026-06-15,Estadio Azteca,21,23.66,2251,2231,2365
A,2,Czechia,South Africa,2026-06-21,Estadio Azteca,19,22.83333333,2251,200,2365
A,2,Mexico,Korea Republic,2026-06-22,Estadio Akron,3,20.28,1665,2231,1644
A,3,South Africa,Korea Republic,2026-06-27,NRG Stadium,21,37.49333333,14,2365,1644
A,3,Czechia,Mexico,2026-06-27,Estadio Azteca,21,21.06666667,2251,200,2231
B,1,Qatar,Switzerland,2026-06-11,BMO Field,19,20.10666667,83,157,66
B,1,Canada,Bosnia and Herzegovina,2026-06-11,BC Place,22,15.24666667,18,0,1350
B,2,Canada,Qatar,2026-06-17,BMO Field,16,22.86,83,0,157
B,2,Switzerland,Bosnia and Herzegovina,2026-06-17,MetLife Stadium,22,23.30666667,4,66,1350
B,3,Switzerland,Canada,2026-06-27,BMO Field,16,21.65333333,83,66,0
B,3,Bosnia and Herzegovina,Qatar,2026-06-27,MetLife Stadium,16,26.12666667,4,1350,157
C,1,Haiti,Scotland,2026-06-11,Lincoln Financial Field,16,24.11333333,1,25,220
C,1,Brazil,Morocco,2026-06-11,MetLife Stadium,20,22.47333333,4,4,90
C,2,Scotland,Morocco,2026-06-17,Gillette Stadium,19,23.52666667,84,220,90
C,2,Brazil,Haiti,2026-06-17,Lincoln Financial Field,1,23.14,1,4,25
C,3,Morocco,Haiti,2026-06-27,Gillette Stadium,22,24.26,84,90,25
C,3,Scotland,Brazil,2026-06-27,Lincoln Financial Field,22,27.92666667,1,220,4
D,1,Australia,Türkiye,2026-06-15,Estadio BBVA,6,28.81333333,494,9,405
D,1,USA,Paraguay,2026-06-15,NRG Stadium,3,30.80666667,14,82,22
D,2,Türkiye,Paraguay,2026-06-21,NRG Stadium,20,35.8,14,405,22
D,2,USA,Australia,2026-06-21,AT&T Stadium,3,30.14,193,82,9
D,3,Paraguay,Australia,2026-06-27,Estadio BBVA,6,27.57333333,494,22,9
